"No.","Time","Source","Destination","Protocol","Length","Info"
"387","89.135857","3.4.1","host","USB","72","URB_INTERRUPT in"
"389","89.418669","3.4.1","host","USB","72","URB_INTERRUPT in"
"391","89.511677","3.4.1","host","USB","72","URB_INTERRUPT in"
"393","91.104718","3.4.1","host","USB","72","URB_INTERRUPT in"
"395","91.220695","3.4.1","host","USB","72","URB_INTERRUPT in"
"397","92.268933","3.4.1","host","USB","72","URB_INTERRUPT in"
"399","92.401734","3.4.1","host","USB","72","URB_INTERRUPT in"
"401","92.749996","3.4.1","host","USB","72","URB_INTERRUPT in"
"403","92.876924","3.4.1","host","USB","72","URB_INTERRUPT in"
"405","93.438790","3.4.1","host","USB","72","URB_INTERRUPT in"
"407","93.548959","3.4.1","host","USB","72","URB_INTERRUPT in"
"409","95.586799","3.4.1","host","USB","72","URB_INTERRUPT in"
"411","95.673881","3.4.1","host","USB","72","URB_INTERRUPT in"
"413","97.122111","3.4.1","host","USB","72","URB_INTERRUPT in"
"415","97.232053","3.4.1","host","USB","72","URB_INTERRUPT in"
"417","97.551005","3.4.1","host","USB","72","URB_INTERRUPT in"
"419","97.648811","3.4.1","host","USB","72","URB_INTERRUPT in"
"421","97.996802","3.4.1","host","USB","72","URB_INTERRUPT in"
"423","98.090034","3.4.1","host","USB","72","URB_INTERRUPT in"
"425","98.744187","3.4.1","host","USB","72","URB_INTERRUPT in"
"427","99.202120","3.4.1","host","USB","72","URB_INTERRUPT in"
"429","99.294055","3.4.1","host","USB","72","URB_INTERRUPT in"
"431","99.664861","3.4.1","host","USB","72","URB_INTERRUPT in"
"433","100.162876","3.4.1","host","USB","72","URB_INTERRUPT in"
"435","100.233130","3.4.1","host","USB","72","URB_INTERRUPT in"
"437","100.585899","3.4.1","host","USB","72","URB_INTERRUPT in"
"439","100.655875","3.4.1","host","USB","72","URB_INTERRUPT in"
"441","101.912093","3.4.1","host","USB","72","URB_INTERRUPT in"
"443","102.444949","3.4.1","host","USB","72","URB_INTERRUPT in"
"445","102.566909","3.4.1","host","USB","72","URB_INTERRUPT in"
"447","102.816228","3.4.1","host","USB","72","URB_INTERRUPT in"
"449","103.488119","3.4.1","host","USB","72","URB_INTERRUPT in"
"451","103.579927","3.4.1","host","USB","72","URB_INTERRUPT in"
"453","103.853125","3.4.1","host","USB","72","URB_INTERRUPT in"
"455","103.963319","3.4.1","host","USB","72","URB_INTERRUPT in"
"457","104.245936","3.4.1","host","USB","72","URB_INTERRUPT in"
"459","104.367977","3.4.1","host","USB","72","URB_INTERRUPT in"
"461","104.704122","3.4.1","host","USB","72","URB_INTERRUPT in"
"463","104.820324","3.4.1","host","USB","72","URB_INTERRUPT in"
"465","105.126967","3.4.1","host","USB","72","URB_INTERRUPT in"
"467","105.201975","3.4.1","host","USB","72","URB_INTERRUPT in"
"469","106.140176","3.4.1","host","USB","72","URB_INTERRUPT in"
"471","106.743233","3.4.1","host","USB","72","URB_INTERRUPT in"
"473","106.841206","3.4.1","host","USB","72","URB_INTERRUPT in"
"475","107.193987","3.4.1","host","USB","72","URB_INTERRUPT in"
"477","110.009033","3.4.1","host","USB","72","URB_INTERRUPT in"
"479","110.131322","3.4.1","host","USB","72","URB_INTERRUPT in"
"481","111.173276","3.4.1","host","USB","72","URB_INTERRUPT in"
"483","111.248409","3.4.1","host","USB","72","URB_INTERRUPT in"
"485","111.573286","3.4.1","host","USB","72","URB_INTERRUPT in"
"487","111.729101","3.4.1","host","USB","72","URB_INTERRUPT in"
"489","113.339130","3.4.1","host","USB","72","URB_INTERRUPT in"
"491","113.461311","3.4.1","host","USB","72","URB_INTERRUPT in"
"493","113.768354","3.4.1","host","USB","72","URB_INTERRUPT in"
"495","113.884346","3.4.1","host","USB","72","URB_INTERRUPT in"
"497","114.289121","3.4.1","host","USB","72","URB_INTERRUPT in"
"499","114.741118","3.4.1","host","USB","72","URB_INTERRUPT in"
"501","114.822355","3.4.1","host","USB","72","URB_INTERRUPT in"
"503","114.967334","3.4.1","host","USB","72","URB_INTERRUPT in"
"505","116.287345","3.4.1","host","USB","72","URB_INTERRUPT in"
"507","116.385363","3.4.1","host","USB","72","URB_INTERRUPT in"
"509","116.779179","3.4.1","host","USB","72","URB_INTERRUPT in"
"511","116.884412","3.4.1","host","USB","72","URB_INTERRUPT in"
"513","117.214386","3.4.1","host","USB","72","URB_INTERRUPT in"
"515","117.324378","3.4.1","host","USB","72","URB_INTERRUPT in"
"517","117.683401","3.4.1","host","USB","72","URB_INTERRUPT in"
"519","117.787380","3.4.1","host","USB","72","URB_INTERRUPT in"
"521","119.212440","3.4.1","host","USB","72","URB_INTERRUPT in"
"523","119.310274","3.4.1","host","USB","72","URB_INTERRUPT in"
"525","119.785444","3.4.1","host","USB","72","URB_INTERRUPT in"
"527","120.214454","3.4.1","host","USB","72","URB_INTERRUPT in"
"529","120.289263","3.4.1","host","USB","72","URB_INTERRUPT in"
"531","120.567465","3.4.1","host","USB","72","URB_INTERRUPT in"
"533","122.142475","3.4.1","host","USB","72","URB_INTERRUPT in"
"535","122.264281","3.4.1","host","USB","72","URB_INTERRUPT in"
"537","122.507471","3.4.1","host","USB","72","URB_INTERRUPT in"
"539","122.629502","3.4.1","host","USB","72","URB_INTERRUPT in"
"541","122.872267","3.4.1","host","USB","72","URB_INTERRUPT in"
"543","122.976659","3.4.1","host","USB","72","URB_INTERRUPT in"
"545","123.266299","3.4.1","host","USB","72","URB_INTERRUPT in"
"547","123.370306","3.4.1","host","USB","72","URB_INTERRUPT in"
"549","123.672660","3.4.1","host","USB","72","URB_INTERRUPT in"
"551","123.758664","3.4.1","host","USB","72","URB_INTERRUPT in"
"553","123.938294","3.4.1","host","USB","72","URB_INTERRUPT in"
"555","124.494331","3.4.1","host","USB","72","URB_INTERRUPT in"
"557","124.587519","3.4.1","host","USB","72","URB_INTERRUPT in"
"559","124.778366","3.4.1","host","USB","72","URB_INTERRUPT in"
"561","126.706736","3.4.1","host","USB","72","URB_INTERRUPT in"
"563","126.834556","3.4.1","host","USB","72","URB_INTERRUPT in"
"565","127.048572","3.4.1","host","USB","72","URB_INTERRUPT in"
"567","127.170591","3.4.1","host","USB","72","URB_INTERRUPT in"
"569","127.471773","3.4.1","host","USB","72","URB_INTERRUPT in"
"571","127.564631","3.4.1","host","USB","72","URB_INTERRUPT in"
"573","128.230614","3.4.1","host","USB","72","URB_INTERRUPT in"
"575","128.322385","3.4.1","host","USB","72","URB_INTERRUPT in"
"577","128.508779","3.4.1","host","USB","72","URB_INTERRUPT in"
"579","128.618590","3.4.1","host","USB","72","URB_INTERRUPT in"
"581","129.070621","3.4.1","host","USB","72","URB_INTERRUPT in"
"583","129.145631","3.4.1","host","USB","72","URB_INTERRUPT in"
